date,PCE
2023-12-22,2.60%
2023-11-30,3.00%
2023-10-27,3.40%
2023-09-29,3.50%
2023-08-31,3.30%
2023-07-28,3.00%
2023-06-30,3.80%
2023-05-26,4.40%
2023-04-28,4.20%
2023-03-31,5.00%
2023-02-24,5.40%
2023-01-27,5.00%
2022-12-23,5.50%
2022-12-01,6.00%
2022-10-28,6.20%
2022-09-30,6.20%
2022-08-26,6.30%
2022-07-29,6.80%
2022-06-30,6.30%
2022-05-27,6.30%
2022-04-29,6.60%
2022-03-31,6.40%
2022-02-25,6.10%
2022-01-28,5.80%
2021-12-23,5.70%
2021-11-25,5.00%
2021-10-29,4.40%
2021-10-01,4.30%
2021-08-27,4.20%
2021-07-30,4.00%
2021-06-25,3.90%
2021-05-28,3.60%
2021-04-30,2.30%
2021-03-26,1.60%
2021-02-26,1.50%
2021-01-29,1.30%
2020-12-23,1.10%
2020-11-26,1.20%
2020-10-30,1.40%
2020-10-01,1.40%
2020-08-28,1.00%
2020-07-31,0.80%
2020-06-26,0.50%
2020-05-29,0.50%
2020-04-30,1.30%
2020-03-27,1.80%
2020-02-28,1.70%
2020-01-31,1.60%
