date,UR
2024-01-05,3.70%
2023-12-08,3.70%
2023-11-03,3.90%
2023-10-06,3.80%
2023-09-01,3.80%
2023-08-04,3.50%
2023-07-07,3.60%
2023-06-02,3.70%
2023-05-05,3.40%
2023-04-07,3.50%
2023-03-10,3.60%
2023-02-03,3.40%
2023-01-06,3.50%
2022-12-02,3.70%
2022-11-04,3.70%
2022-10-07,3.50%
2022-09-02,3.70%
2022-08-05,3.50%
2022-07-08,3.60%
2022-06-03,3.60%
2022-05-06,3.60%
2022-04-01,3.60%
2022-03-04,3.80%
2022-02-04,4.00%
2022-01-07,3.90%
2021-12-03,4.20%
2021-11-05,4.60%
2021-10-08,4.80%
2021-09-03,5.20%
2021-08-06,5.40%
2021-07-02,5.90%
2021-06-04,5.80%
2021-05-07,6.10%
2021-04-02,6.00%
2021-03-05,6.20%
2021-02-05,6.30%
2021-01-08,6.70%
2020-12-04,6.70%
2020-11-06,6.90%
2020-10-02,7.90%
2020-09-04,8.40%
2020-08-07,10.20%
2020-07-02,11.10%
2020-06-05,13.30%
2020-05-08,14.70%
2020-04-03,4.40%
2020-03-06,3.50%
2020-02-07,3.60%
2020-01-10,3.50%
,
,
,
,
,
,
,
,
,
,
,
,
