date,inflation
2023-12-23,3.1%
2023-11-23,4.5%
2023-10-27,4.2%
2023-09-29,3.2%
2023-08-25,3.5%
2023-07-28,3.4%
2023-06-30,3.3%
2023-05-26,4.2%
2023-04-28,4.6%
2023-03-31,3.6%
2023-02-25,4.1%
2023-01-28,3.9%
2022-12-24,4.4%
2022-11-24,4.9%
2022-10-28,5.0%
2022-09-30,4.7%
2022-08-26,4.8%
2022-07-29,5.2%
2022-06-24,5.3%
2022-05-27,5.3%
2022-04-29,5.4%
2022-03-25,5.4%
2022-02-26,4.9%
2022-01-29,4.9%
2021-12-24,4.8%
2021-11-25,4.9%
2021-10-29,4.8%
2021-10-01,4.6%
2021-08-27,4.6%
2021-07-30,4.7%
2021-06-25,4.2%
2021-05-28,4.6%
2021-04-30,3.4%
2021-03-26,3.1%
2021-02-27,3.3%
2021-01-30,3.0%
2020-12-24,2.5%
2020-11-26,2.8%
2020-10-30,2.6%
2020-10-02,2.6%
2020-08-28,3.1%
2020-07-31,3.0%
2020-06-26,3.0%
2020-05-29,3.2%
2020-04-24,2.1%
2020-03-27,2.2%
2020-02-29,2.4%
2020-02-01,2.5%
